period,medication_id,medication_name,category,opening_stock,quantity_sold,quantity_restocked,closing_stock,reorder_point,unit_cost
2020-01,MED001,Paracétamol 500mg,Antalgique,760,760,0,0,50,2.5
2020-02,MED001,Paracétamol 500mg,Antalgique,423,723,300,0,50,2.5
2020-03,MED001,Paracétamol 500mg,Antalgique,418,718,300,0,50,2.5
2020-04,MED001,Paracétamol 500mg,Antalgique,401,701,300,0,50,2.5
2020-05,MED001,Paracétamol 500mg,Antalgique,421,721,300,0,50,2.5
2020-06,MED001,Paracétamol 500mg,Antalgique,425,725,300,0,50,2.5
2020-07,MED001,Paracétamol 500mg,Antalgique,481,781,300,0,50,2.5
2020-08,MED001,Paracétamol 500mg,Antalgique,450,750,300,0,50,2.5
2020-09,MED001,Paracétamol 500mg,Antalgique,547,847,300,0,50,2.5
2020-10,MED001,Paracétamol 500mg,Antalgique,614,914,300,0,50,2.5
2020-11,MED001,Paracétamol 500mg,Antalgique,661,961,300,0,50,2.5
2020-12,MED001,Paracétamol 500mg,Antalgique,676,976,300,0,50,2.5
2021-01,MED001,Paracétamol 500mg,Antalgique,454,754,300,0,50,2.5
2021-02,MED001,Paracétamol 500mg,Antalgique,386,686,300,0,50,2.5
2021-03,MED001,Paracétamol 500mg,Antalgique,509,809,300,0,50,2.5
2021-04,MED001,Paracétamol 500mg,Antalgique,458,758,300,0,50,2.5
2021-05,MED001,Paracétamol 500mg,Antalgique,445,745,300,0,50,2.5
2021-06,MED001,Paracétamol 500mg,Antalgique,434,734,300,0,50,2.5
2021-07,MED001,Paracétamol 500mg,Antalgique,524,824,300,0,50,2.5
2021-08,MED001,Paracétamol 500mg,Antalgique,451,751,300,0,50,2.5
2021-09,MED001,Paracétamol 500mg,Antalgique,538,838,300,0,50,2.5
2021-10,MED001,Paracétamol 500mg,Antalgique,645,945,300,0,50,2.5
2021-11,MED001,Paracétamol 500mg,Antalgique,648,948,300,0,50,2.5
2021-12,MED001,Paracétamol 500mg,Antalgique,677,977,300,0,50,2.5
2022-01,MED001,Paracétamol 500mg,Antalgique,450,750,300,0,50,2.5
2022-02,MED001,Paracétamol 500mg,Antalgique,441,741,300,0,50,2.5
2022-03,MED001,Paracétamol 500mg,Antalgique,487,787,300,0,50,2.5
2022-04,MED001,Paracétamol 500mg,Antalgique,471,771,300,0,50,2.5
2022-05,MED001,Paracétamol 500mg,Antalgique,503,803,300,0,50,2.5
2022-06,MED001,Paracétamol 500mg,Antalgique,477,777,300,0,50,2.5
2022-07,MED001,Paracétamol 500mg,Antalgique,519,819,300,0,50,2.5
2022-08,MED001,Paracétamol 500mg,Antalgique,511,811,300,0,50,2.5
2022-09,MED001,Paracétamol 500mg,Antalgique,587,887,300,0,50,2.5
2022-10,MED001,Paracétamol 500mg,Antalgique,628,928,300,0,50,2.5
2022-11,MED001,Paracétamol 500mg,Antalgique,728,1028,300,0,50,2.5
2022-12,MED001,Paracétamol 500mg,Antalgique,744,1044,300,0,50,2.5
2023-01,MED001,Paracétamol 500mg,Antalgique,472,772,300,0,50,2.5
2023-02,MED001,Paracétamol 500mg,Antalgique,403,703,300,0,50,2.5
2023-03,MED001,Paracétamol 500mg,Antalgique,564,864,300,0,50,2.5
2023-04,MED001,Paracétamol 500mg,Antalgique,468,768,300,0,50,2.5
2023-05,MED001,Paracétamol 500mg,Antalgique,538,838,300,0,50,2.5
2023-06,MED001,Paracétamol 500mg,Antalgique,478,778,300,0,50,2.5
2023-07,MED001,Paracétamol 500mg,Antalgique,509,809,300,0,50,2.5
2023-08,MED001,Paracétamol 500mg,Antalgique,605,905,300,0,50,2.5
2023-09,MED001,Paracétamol 500mg,Antalgique,580,880,300,0,50,2.5
2023-10,MED001,Paracétamol 500mg,Antalgique,747,1047,300,0,50,2.5
2023-11,MED001,Paracétamol 500mg,Antalgique,787,1087,300,0,50,2.5
2023-12,MED001,Paracétamol 500mg,Antalgique,677,977,300,0,50,2.5
2024-01,MED001,Paracétamol 500mg,Antalgique,524,824,300,0,50,2.5
2024-02,MED001,Paracétamol 500mg,Antalgique,525,825,300,0,50,2.5
2024-03,MED001,Paracétamol 500mg,Antalgique,539,839,300,0,50,2.5
2024-04,MED001,Paracétamol 500mg,Antalgique,490,790,300,0,50,2.5
2024-05,MED001,Paracétamol 500mg,Antalgique,562,862,300,0,50,2.5
2024-06,MED001,Paracétamol 500mg,Antalgique,507,807,300,0,50,2.5
2024-07,MED001,Paracétamol 500mg,Antalgique,564,864,300,0,50,2.5
2024-08,MED001,Paracétamol 500mg,Antalgique,555,855,300,0,50,2.5
2024-09,MED001,Paracétamol 500mg,Antalgique,596,896,300,0,50,2.5
2024-10,MED001,Paracétamol 500mg,Antalgique,742,1042,300,0,50,2.5
2024-11,MED001,Paracétamol 500mg,Antalgique,781,1081,300,0,50,2.5
2024-12,MED001,Paracétamol 500mg,Antalgique,726,1026,300,0,50,2.5
2025-01,MED001,Paracétamol 500mg,Antalgique,574,874,300,0,50,2.5
2025-02,MED001,Paracétamol 500mg,Antalgique,474,774,300,0,50,2.5
2025-03,MED001,Paracétamol 500mg,Antalgique,578,878,300,0,50,2.5
2020-01,MED002,Amoxicilline 500mg,Antibiotique,542,542,0,0,30,8.0
2020-02,MED002,Amoxicilline 500mg,Antibiotique,247,427,180,0,30,8.0
2020-03,MED002,Amoxicilline 500mg,Antibiotique,220,400,180,0,30,8.0
2020-04,MED002,Amoxicilline 500mg,Antibiotique,114,294,180,0,30,8.0
2020-05,MED002,Amoxicilline 500mg,Antibiotique,104,284,180,0,30,8.0
2020-06,MED002,Amoxicilline 500mg,Antibiotique,60,240,180,0,30,8.0
2020-07,MED002,Amoxicilline 500mg,Antibiotique,68,248,180,0,30,8.0
2020-08,MED002,Amoxicilline 500mg,Antibiotique,95,275,180,0,30,8.0
2020-09,MED002,Amoxicilline 500mg,Antibiotique,178,358,180,0,30,8.0
2020-10,MED002,Amoxicilline 500mg,Antibiotique,252,432,180,0,30,8.0
2020-11,MED002,Amoxicilline 500mg,Antibiotique,314,494,180,0,30,8.0
2020-12,MED002,Amoxicilline 500mg,Antibiotique,430,610,180,0,30,8.0
2021-01,MED002,Amoxicilline 500mg,Antibiotique,354,534,180,0,30,8.0
2021-02,MED002,Amoxicilline 500mg,Antibiotique,239,419,180,0,30,8.0
2021-03,MED002,Amoxicilline 500mg,Antibiotique,247,427,180,0,30,8.0
2021-04,MED002,Amoxicilline 500mg,Antibiotique,140,320,180,0,30,8.0
2021-05,MED002,Amoxicilline 500mg,Antibiotique,94,274,180,0,30,8.0
2021-06,MED002,Amoxicilline 500mg,Antibiotique,67,247,180,0,30,8.0
2021-07,MED002,Amoxicilline 500mg,Antibiotique,93,273,180,0,30,8.0
2021-08,MED002,Amoxicilline 500mg,Antibiotique,96,276,180,0,30,8.0
2021-09,MED002,Amoxicilline 500mg,Antibiotique,182,362,180,0,30,8.0
2021-10,MED002,Amoxicilline 500mg,Antibiotique,269,449,180,0,30,8.0
2021-11,MED002,Amoxicilline 500mg,Antibiotique,331,511,180,0,30,8.0
2021-12,MED002,Amoxicilline 500mg,Antibiotique,404,584,180,0,30,8.0
2022-01,MED002,Amoxicilline 500mg,Antibiotique,391,571,180,0,30,8.0
2022-02,MED002,Amoxicilline 500mg,Antibiotique,243,423,180,0,30,8.0
2022-03,MED002,Amoxicilline 500mg,Antibiotique,231,411,180,0,30,8.0
2022-04,MED002,Amoxicilline 500mg,Antibiotique,152,332,180,0,30,8.0
2022-05,MED002,Amoxicilline 500mg,Antibiotique,113,293,180,0,30,8.0
2022-06,MED002,Amoxicilline 500mg,Antibiotique,79,259,180,0,30,8.0
2022-07,MED002,Amoxicilline 500mg,Antibiotique,87,267,180,0,30,8.0
2022-08,MED002,Amoxicilline 500mg,Antibiotique,117,297,180,0,30,8.0
2022-09,MED002,Amoxicilline 500mg,Antibiotique,199,379,180,0,30,8.0
2022-10,MED002,Amoxicilline 500mg,Antibiotique,263,443,180,0,30,8.0
2022-11,MED002,Amoxicilline 500mg,Antibiotique,319,499,180,0,30,8.0
2022-12,MED002,Amoxicilline 500mg,Antibiotique,443,623,180,0,30,8.0
2023-01,MED002,Amoxicilline 500mg,Antibiotique,459,639,180,0,30,8.0
2023-02,MED002,Amoxicilline 500mg,Antibiotique,284,464,180,0,30,8.0
2023-03,MED002,Amoxicilline 500mg,Antibiotique,269,449,180,0,30,8.0
2023-04,MED002,Amoxicilline 500mg,Antibiotique,153,333,180,0,30,8.0
2023-05,MED002,Amoxicilline 500mg,Antibiotique,124,304,180,0,30,8.0
2023-06,MED002,Amoxicilline 500mg,Antibiotique,67,247,180,0,30,8.0
2023-07,MED002,Amoxicilline 500mg,Antibiotique,82,262,180,0,30,8.0
2023-08,MED002,Amoxicilline 500mg,Antibiotique,116,296,180,0,30,8.0
2023-09,MED002,Amoxicilline 500mg,Antibiotique,199,379,180,0,30,8.0
2023-10,MED002,Amoxicilline 500mg,Antibiotique,303,483,180,0,30,8.0
2023-11,MED002,Amoxicilline 500mg,Antibiotique,350,530,180,0,30,8.0
2023-12,MED002,Amoxicilline 500mg,Antibiotique,433,613,180,0,30,8.0
2024-01,MED002,Amoxicilline 500mg,Antibiotique,428,608,180,0,30,8.0
2024-02,MED002,Amoxicilline 500mg,Antibiotique,293,473,180,0,30,8.0
2024-03,MED002,Amoxicilline 500mg,Antibiotique,254,434,180,0,30,8.0
2024-04,MED002,Amoxicilline 500mg,Antibiotique,142,322,180,0,30,8.0
2024-05,MED002,Amoxicilline 500mg,Antibiotique,134,314,180,0,30,8.0
2024-06,MED002,Amoxicilline 500mg,Antibiotique,90,270,180,0,30,8.0
2024-07,MED002,Amoxicilline 500mg,Antibiotique,98,278,180,0,30,8.0
2024-08,MED002,Amoxicilline 500mg,Antibiotique,127,307,180,0,30,8.0
2024-09,MED002,Amoxicilline 500mg,Antibiotique,198,378,180,0,30,8.0
2024-10,MED002,Amoxicilline 500mg,Antibiotique,294,474,180,0,30,8.0
2024-11,MED002,Amoxicilline 500mg,Antibiotique,379,559,180,0,30,8.0
2024-12,MED002,Amoxicilline 500mg,Antibiotique,449,629,180,0,30,8.0
2025-01,MED002,Amoxicilline 500mg,Antibiotique,456,636,180,0,30,8.0
2025-02,MED002,Amoxicilline 500mg,Antibiotique,294,474,180,0,30,8.0
2025-03,MED002,Amoxicilline 500mg,Antibiotique,255,435,180,0,30,8.0
2020-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,631,631,0,0,40,3.5
2020-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,307,547,240,0,40,3.5
2020-03,MED003,Ibuprofène 400mg,Anti-inflammatoire,306,546,240,0,40,3.5
2020-04,MED003,Ibuprofène 400mg,Anti-inflammatoire,285,525,240,0,40,3.5
2020-05,MED003,Ibuprofène 400mg,Anti-inflammatoire,231,471,240,0,40,3.5
2020-06,MED003,Ibuprofène 400mg,Anti-inflammatoire,236,476,240,0,40,3.5
2020-07,MED003,Ibuprofène 400mg,Anti-inflammatoire,251,491,240,0,40,3.5
2020-08,MED003,Ibuprofène 400mg,Anti-inflammatoire,300,540,240,0,40,3.5
