date,medication_id,medication_name,category,quantity_sold,unit_price,revenue
2020-01-01,MED001,Paracétamol 500mg,Antalgique,26,3.25,84.5
2020-01-01,MED002,Amoxicilline 500mg,Antibiotique,17,10.4,176.8
2020-01-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,23,4.55,104.65
2020-01-01,MED004,Oméprazole 20mg,Gastrique,12,6.5,78.0
2020-01-01,MED005,Metformine 850mg,Diabète,7,5.2,36.4
2020-01-01,MED006,Amlodipine 5mg,Cardiovasculaire,6,8.45,50.7
2020-01-01,MED007,Salbutamol Spray,Respiratoire,9,15.6,140.4
2020-01-01,MED008,Loratadine 10mg,Antihistaminique,7,5.85,40.95
2020-01-01,MED009,Vitamine C 1000mg,Supplément,16,3.9,62.4
2020-01-01,MED010,Doliprane 1000mg,Antalgique,32,3.9,124.8
2020-01-01,MED011,Augmentin 875mg,Antibiotique,9,19.5,175.5
2020-01-01,MED012,Ventoline 100mcg,Respiratoire,5,18.2,91.0
2020-01-01,MED013,Atorvastatine 20mg,Cardiovasculaire,7,9.1,63.7
2020-01-01,MED014,Lévothyroxine 50mcg,Thyroïde,3,7.15,21.45
2020-01-01,MED015,Pantoprazole 40mg,Gastrique,5,7.8,39.0
2020-01-01,MED016,Sertraline 50mg,Psychiatrique,3,11.7,35.1
2020-01-01,MED017,Lansoprazole 30mg,Gastrique,5,7.15,35.75
2020-01-01,MED018,Cétirizine 10mg,Antihistaminique,8,4.55,36.4
2020-01-01,MED019,Diclofénac 50mg,Anti-inflammatoire,9,5.2,46.8
2020-01-01,MED020,Tramadol 50mg,Antalgique,3,7.8,23.4
2020-01-01,MED021,Fluconazole 150mg,Antifongique,3,13.0,39.0
2020-01-01,MED022,Ciprofloxacine 500mg,Antibiotique,8,15.6,124.8
2020-01-01,MED023,Doxycycline 100mg,Antibiotique,7,11.05,77.35
2020-01-01,MED024,Prednisolone 5mg,Corticoïde,7,5.85,40.95
2020-01-01,MED025,Vitamine D3 1000UI,Supplément,13,4.55,59.15
2020-01-01,MED026,Magnésium 300mg,Supplément,12,5.2,62.4
2020-01-01,MED027,Fer 80mg,Supplément,7,3.9,27.3
2020-01-01,MED028,Acide Folique 5mg,Supplément,7,3.25,22.75
2020-01-01,MED029,Bisoprolol 5mg,Cardiovasculaire,5,6.5,32.5
2020-01-01,MED030,Ramipril 5mg,Cardiovasculaire,5,7.15,35.75
2020-01-02,MED001,Paracétamol 500mg,Antalgique,22,3.25,71.5
2020-01-02,MED002,Amoxicilline 500mg,Antibiotique,23,10.4,239.2
2020-01-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,21,4.55,95.55
2020-01-02,MED004,Oméprazole 20mg,Gastrique,8,6.5,52.0
2020-01-02,MED005,Metformine 850mg,Diabète,8,5.2,41.6
2020-01-02,MED006,Amlodipine 5mg,Cardiovasculaire,5,8.45,42.25
2020-01-02,MED007,Salbutamol Spray,Respiratoire,8,15.6,124.8
2020-01-02,MED008,Loratadine 10mg,Antihistaminique,4,5.85,23.4
2020-01-02,MED009,Vitamine C 1000mg,Supplément,14,3.9,54.6
2020-01-02,MED010,Doliprane 1000mg,Antalgique,30,3.9,117.0
2020-01-02,MED011,Augmentin 875mg,Antibiotique,11,19.5,214.5
2020-01-02,MED012,Ventoline 100mcg,Respiratoire,6,18.2,109.2
2020-01-02,MED013,Atorvastatine 20mg,Cardiovasculaire,7,9.1,63.7
2020-01-02,MED014,Lévothyroxine 50mcg,Thyroïde,4,7.15,28.6
2020-01-02,MED015,Pantoprazole 40mg,Gastrique,6,7.8,46.8
2020-01-02,MED016,Sertraline 50mg,Psychiatrique,3,11.7,35.1
2020-01-02,MED017,Lansoprazole 30mg,Gastrique,5,7.15,35.75
2020-01-02,MED018,Cétirizine 10mg,Antihistaminique,8,4.55,36.4
